0	XX	8	8
1	XX	9	9
2	XX	10	10
3	XX	11	11
4	XX	12	11
5	XX	13	12
6	XX	14	13
7	XX	15	14
8	XX	16	14
9	XX	16	15
10	XX	17	15
11	XX	17	16
12	XX	18	17
13	XX	18	18
14	XX	19	18
15	XX	19	19
16	XX	20	20
17	XX	20	21
18	XX	21	21
19	XX	21	22
20	XX	22	23
21	XX	22	24
22	XX	23	24
23	XX	24	25
24	XX	24	25
25	XX	25	26
26	XX	25	26
27	XX	26	27
28	XX	26	27
29	XX	27	28
30	XX	28	29
31	XX	28	29
32	XX	29	30
33	XX	30	30
34	XX	30	31
35	XX	31	32
36	XX	32	32
37	XX	32	33
38	XX	33	34
39	XX	34	35
40	XX	35	36
41	XX	35	37
42	XX	36	37
43	XX	36	38
44	XX	37	38
45	XX	37	XX
46	XX	38	XX
47	XX	38	XX
48	XX	XX	XX
