0	160	8	8
1	180	9	9
2	200	10	9
3	210	11	10
4	230	11	11
5	250	12	12
6	270	13	12
7	290	14	13
8	310	15	14
9	330	16	14
10	340	16	15
11	360	17	15
12	370	17	16
13	380	18	17
14	400	18	17
15	410	19	18
16	420	19	19
17	430	20	20
18	440	20	21
19	450	21	21
20	460	21	22
21	470	22	23
22	480	23	24
23	480	23	25
24	490	24	25
25	500	25	26
26	510	25	27
27	520	26	27
28	530	26	28
29	530	27	28
30	540	27	29
31	550	28	29
32	560	29	30
33	570	29	30
34	580	30	31
35	580	31	31
36	590	31	32
37	600	32	33
38	610	33	33
39	620	33	34
40	630	34	35
41	650	34	36
42	660	35	37
43	680	36	37
44	700	36	38
45	720	37	XX
46	740	37	XX
47	750	38	XX
48	760	XX	XX
