0	160	8	8
1	180	9	9
2	200	10	10
3	220	11	11
4	240	12	12
5	260	13	13
6	280	14	13
7	290	15	14
8	310	16	14
9	330	16	15
10	340	17	16
11	360	17	16
12	370	18	17
13	380	18	18
14	390	19	18
15	400	19	19
16	410	20	20
17	420	20	21
18	430	21	21
19	440	22	22
20	450	22	23
21	460	23	24
22	470	23	24
23	480	24	25
24	480	25	26
25	490	25	26
26	500	25	27
27	510	26	27
28	520	26	28
29	530	27	29
30	540	27	29
31	550	28	30
32	560	29	30
33	570	29	31
34	580	30	31
35	590	30	32
36	600	31	33
37	610	32	33
38	620	32	34
39	630	33	35
40	640	34	36
41	660	34	36
42	680	35	37
43	700	36	38
44	720	36	38
45	730	37	XX
46	740	37	XX
47	750	38	XX
48	760	XX	XX
