0	160	8	8
1	170	9	9
2	190	9	10
3	210	10	10
4	220	11	11
5	240	12	12
6	250	13	13
7	270	14	13
8	290	15	14
9	300	15	14
10	320	16	15
11	330	16	15
12	340	17	16
13	350	17	16
14	360	17	17
15	370	18	17
16	380	18	18
17	380	19	18
18	390	19	19
19	400	20	19
20	410	20	20
21	420	20	20
22	430	21	21
23	430	21	22
24	440	22	22
25	450	22	23
26	450	23	24
27	460	24	24
28	470	24	25
29	480	25	26
30	480	25	26
31	490	25	27
32	500	26	28
33	510	26	28
34	520	27	29
35	530	28	29
36	530	28	30
37	540	29	31
38	550	30	31
39	560	30	32
40	570	31	33
41	580	32	34
42	590	33	35
43	610	34	36
44	620	35	38
45	640	35	XX
46	670	36	XX
47	710	38	XX
48	760	XX	XX
