0	1	1	1	1
1	1	4	2	3
2	2	7	4	5
3	3	9	5	6
4	3	10	7	8
5	4	11	8	9
6	5	12	9	10
7	5	13	10	11
8	6	13	11	12
9	6	14	12	13
10	7	14	12	14
11	7	14	13	14
12	8	15	13	15
13	8	15	14	16
14	9	15	15	17
15	9	16	15	17
16	9	16	16	18
17	10	16	17	19
18	10	16	17	19
19	10	17	18	20
20	11	17	19	21
21	11	17	20	21
22	11	18	20	22
23	12	18	21	22
24	12	19	22	23
25	13	19	22	24
26	13	19	23	24
27	14	20	24	25
28	14	20	25	25
29	14	21	26	26
30	15	22	27	27
31	15	22	28	28
32	15	23	29	29
33	15	23	30	30
34	16	24	31	31
35	16	24	32	32
36	16	25	33	33
37	17	25	34	34
38	17	25	35	35
39	17	26	35	36
40	18	26	36	36
41	19	26	XX	XX
42	19	27	XX	XX
43	20	27	XX	XX
44	20	27	XX	XX
45	20	28	XX	XX
46	21	28	XX	XX
47	21	28	XX	XX
48	21	29	XX	XX
49	22	29	XX	XX
50	22	30	XX	XX
51	22	30	XX	XX
52	23	31	XX	XX
53	23	32	XX	XX
54	23	33	XX	XX
55	24	33	XX	XX
56	24	34	XX	XX
57	25	35	XX	XX
58	25	35	XX	XX
59	25	36	XX	XX
60	26	36	XX	XX
61	27	XX	XX	XX
62	27	XX	XX	XX
63	28	XX	XX	XX
64	29	XX	XX	XX
65	30	XX	XX	XX
66	31	XX	XX	XX
67	32	XX	XX	XX
68	33	XX	XX	XX
69	34	XX	XX	XX
70	34	XX	XX	XX
71	35	XX	XX	XX
72	35	XX	XX	XX
73	36	XX	XX	XX
74	36	XX	XX	XX
75	36	XX	XX	XX
