0	1	1	1	1
1	1	4	2	3
2	2	6	4	4
3	3	8	5	6
4	4	10	6	7
5	4	11	8	8
6	5	11	9	9
7	6	12	10	10
8	6	13	11	11
9	7	13	12	12
10	7	14	11	14
11	8	14	14	13
12	8	14	13	14
13	9	15	14	15
14	9	15	16	17
15	9	15	15	16
16	10	16	17	17
17	10	16	18	19
18	10	16	17	18
19	11	17	19	19
20	11	17	20	20
21	11	17	21	20
22	12	18	20	21
23	12	18	22	21
24	13	18	23	22
25	13	19	22	23
26	14	19	24	22
27	14	20	24	23
28	14	20	25	23
29	15	21	26	24
30	15	21	28	24
31	15	22	29	25
32	16	23	30	26
33	16	23	31	26
34	16	24	32	27
35	17	24	32	28
36	17	24	33	30
37	18	25	34	31
38	18	25	35	33
39	19	26	35	36
40	19	26	36	34
41	20	26	XX	XX
42	20	27	XX	XX
43	20	27	XX	XX
44	21	27	XX	XX
45	21	28	XX	XX
46	21	28	XX	XX
47	22	29	XX	XX
48	22	29	XX	XX
49	22	30	XX	XX
50	23	30	XX	XX
51	23	31	XX	XX
52	23	31	XX	XX
53	24	32	XX	XX
54	24	33	XX	XX
55	24	34	XX	XX
56	25	34	XX	XX
57	25	35	XX	XX
58	25	35	XX	XX
59	26	36	XX	XX
60	26	36	XX	XX
61	27	XX	XX	XX
62	27	XX	XX	XX
63	28	XX	XX	XX
64	29	XX	XX	XX
65	29	XX	XX	XX
66	30	XX	XX	XX
67	31	XX	XX	XX
68	32	XX	XX	XX
69	33	XX	XX	XX
70	34	XX	XX	XX
71	35	XX	XX	XX
72	35	XX	XX	XX
73	35	XX	XX	XX
74	36	XX	XX	XX
75	36	XX	XX	XX
