0	1	1	1	1
1	1	4	2	3
2	2	6	4	5
3	3	8	5	6
4	3	9	7	7
5	4	10	8	8
6	5	11	9	9
7	5	12	10	10
8	6	12	11	11
9	6	13	12	12
10	7	13	12	14
11	7	14	14	13
12	7	14	13	15
13	8	15	15	16
14	8	15	16	17
15	9	15	15	16
16	9	15	17	18
17	10	16	19	19
18	10	16	18	19
19	11	16	19	20
20	11	16	20	21
21	11	16	21	20
22	12	17	21	22
23	13	17	22	22
24	13	17	23	23
25	14	17	23	24
26	14	18	24	24
27	14	18	25	25
28	15	18	26	25
29	15	19	27	26
30	15	19	28	27
31	16	20	29	28
32	16	21	30	29
33	16	21	30	30
34	17	22	31	31
35	18	22	32	32
36	18	23	32	33
37	19	23	33	34
38	19	24	35	35
39	20	24	34	36
40	20	24	36	36
41	20	25	XX	XX
42	21	25	XX	XX
43	21	26	XX	XX
44	21	26	XX	XX
45	22	27	XX	XX
46	22	27	XX	XX
47	22	27	XX	XX
48	23	28	XX	XX
49	23	28	XX	XX
50	23	28	XX	XX
51	24	29	XX	XX
52	24	29	XX	XX
53	24	30	XX	XX
54	25	31	XX	XX
55	25	31	XX	XX
56	26	32	XX	XX
57	26	33	XX	XX
58	27	34	XX	XX
59	27	35	XX	XX
60	28	36	XX	XX
61	28	XX	XX	XX
62	29	XX	XX	XX
63	29	XX	XX	XX
64	30	XX	XX	XX
65	31	XX	XX	XX
66	31	XX	XX	XX
67	32	XX	XX	XX
68	33	XX	XX	XX
69	33	XX	XX	XX
70	34	XX	XX	XX
71	34	XX	XX	XX
72	35	XX	XX	XX
73	35	XX	XX	XX
74	36	XX	XX	XX
75	36	XX	XX	XX
