0	1	1	1	1
1	1	4	2	3
2	2	6	3	4
3	2	8	5	6
4	3	9	6	7
5	3	10	7	8
6	4	11	8	9
7	4	12	9	10
8	5	12	10	11
9	5	13	12	12
10	6	13	11	13
11	6	14	13	12
12	7	14	13	14
13	7	15	14	15
14	7	15	16	16
15	8	15	15	15
16	8	15	16	16
17	9	16	18	18
18	9	16	17	17
19	9	16	19	18
20	10	17	19	19
21	10	17	21	19
22	10	17	20	21
23	11	18	22	20
24	11	18	23	21
25	11	19	22	22
26	12	19	24	22
27	12	20	24	24
28	13	21	25	23
29	13	21	26	24
30	14	22	27	25
31	14	23	28	25
32	15	23	29	26
33	15	24	30	27
34	15	24	31	28
35	16	25	31	29
36	16	25	32	31
37	16	25	33	32
38	17	26	35	33
39	17	26	34	36
40	18	27	36	35
41	18	27	XX	XX
42	19	27	XX	XX
43	19	27	XX	XX
44	20	28	XX	XX
45	20	28	XX	XX
46	21	29	XX	XX
47	21	29	XX	XX
48	21	30	XX	XX
49	22	30	XX	XX
50	22	31	XX	XX
51	23	32	XX	XX
52	23	32	XX	XX
53	23	33	XX	XX
54	24	34	XX	XX
55	24	34	XX	XX
56	24	35	XX	XX
57	25	35	XX	XX
58	25	35	XX	XX
59	26	36	XX	XX
60	26	36	XX	XX
61	27	XX	XX	XX
62	27	XX	XX	XX
63	28	XX	XX	XX
64	29	XX	XX	XX
65	30	XX	XX	XX
66	30	XX	XX	XX
67	31	XX	XX	XX
68	32	XX	XX	XX
69	33	XX	XX	XX
70	34	XX	XX	XX
71	35	XX	XX	XX
72	35	XX	XX	XX
73	35	XX	XX	XX
74	36	XX	XX	XX
75	36	XX	XX	XX
