0	1	1	1	1
1	1	4	2	3
2	2	6	4	5
3	3	8	5	6
4	3	10	7	7
5	4	11	8	8
6	4	12	9	9
7	5	12	10	10
8	6	13	11	11
9	6	13	12	12
10	6	14	11	14
11	7	14	14	13
12	7	14	13	14
13	8	15	14	15
14	8	15	16	16
15	9	15	15	16
16	9	16	16	17
17	9	16	18	18
18	10	16	17	18
19	10	16	19	19
20	11	17	19	20
21	11	17	21	20
22	11	17	20	22
23	12	18	22	21
24	12	18	23	22
25	13	19	22	23
26	13	19	23	23
27	14	20	24	25
28	14	20	25	24
29	14	21	26	25
30	15	21	27	26
31	15	22	28	27
32	15	23	29	28
33	16	23	30	29
34	16	23	31	30
35	16	24	32	31
36	17	24	33	32
37	17	25	34	34
38	18	25	35	35
39	18	25	34	36
40	19	26	36	36
41	19	26	XX	XX
42	20	27	XX	XX
43	20	27	XX	XX
44	20	27	XX	XX
45	21	27	XX	XX
46	21	28	XX	XX
47	21	28	XX	XX
48	22	29	XX	XX
49	22	29	XX	XX
50	22	30	XX	XX
51	23	30	XX	XX
52	23	31	XX	XX
53	23	32	XX	XX
54	24	33	XX	XX
55	24	34	XX	XX
56	24	34	XX	XX
57	25	35	XX	XX
58	25	35	XX	XX
59	26	36	XX	XX
60	26	36	XX	XX
61	27	XX	XX	XX
62	27	XX	XX	XX
63	28	XX	XX	XX
64	29	XX	XX	XX
65	30	XX	XX	XX
66	31	XX	XX	XX
67	32	XX	XX	XX
68	33	XX	XX	XX
69	34	XX	XX	XX
70	34	XX	XX	XX
71	35	XX	XX	XX
72	35	XX	XX	XX
73	36	XX	XX	XX
74	36	XX	XX	XX
75	36	XX	XX	XX
