0	1	1	1	1
1	1	3	2	3
2	2	5	4	5
3	3	7	5	7
4	3	9	7	8
5	4	10	8	9
6	5	11	9	10
7	5	11	10	12
8	6	12	11	12
9	6	13	12	13
10	7	13	12	15
11	7	13	13	14
12	7	14	13	16
13	8	14	14	16
14	8	15	16	18
15	9	15	15	17
16	9	15	16	18
17	10	16	18	20
18	10	16	17	19
19	10	16	19	20
20	11	16	19	22
21	11	17	21	21
22	11	17	20	23
23	12	17	21	22
24	12	17	22	23
25	13	18	22	24
26	13	18	23	24
27	14	18	24	25
28	14	19	24	25
29	15	19	25	26
30	15	20	26	27
31	15	21	27	28
32	16	21	28	29
33	16	22	29	30
34	16	22	30	31
35	17	23	31	33
36	17	23	32	34
37	18	24	33	35
38	18	24	35	35
39	19	24	34	36
40	19	25	36	36
41	20	25	XX	XX
42	20	26	XX	XX
43	20	26	XX	XX
44	21	26	XX	XX
45	21	27	XX	XX
46	21	27	XX	XX
47	22	27	XX	XX
48	22	28	XX	XX
49	22	28	XX	XX
50	23	29	XX	XX
51	23	29	XX	XX
52	23	30	XX	XX
53	24	31	XX	XX
54	24	32	XX	XX
55	24	33	XX	XX
56	25	33	XX	XX
57	25	34	XX	XX
58	25	35	XX	XX
59	26	36	XX	XX
60	26	36	XX	XX
61	27	XX	XX	XX
62	27	XX	XX	XX
63	28	XX	XX	XX
64	29	XX	XX	XX
65	29	XX	XX	XX
66	30	XX	XX	XX
67	31	XX	XX	XX
68	32	XX	XX	XX
69	33	XX	XX	XX
70	34	XX	XX	XX
71	34	XX	XX	XX
72	35	XX	XX	XX
73	35	XX	XX	XX
74	36	XX	XX	XX
75	36	XX	XX	XX
