10	10	10	10	10	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10	10
11	11	11	11	11	10	10	11	11	11	11	10	11
11	11	12	12	12	11	11	12	12	12	11	11	11
12	12	12	13	13	12	12	12	13	13	12	12	12
13	13	13	14	13	13	12	13	14	14	13	13	13
14	14	14	15	14	14	13	14	15	15	14	13	14
14	15	15	16	15	14	14	15	16	16	15	14	15
15	15	16	16	16	15	15	16	16	17	16	15	16
16	16	16	17	17	16	15	16	17	17	16	16	16
16	16	17	18	18	17	16	17	17	18	17	16	17
17	17	18	19	18	17	17	18	18	19	18	17	18
17	17	18	19	19	18	18	19	19	20	18	18	18
18	18	19	20	20	19	18	19	20	20	19	18	19
18	18	19	21	20	19	19	20	20	21	20	19	20
18	19	20	21	21	20	19	21	21	21	20	20	21
19	19	21	22	22	21	20	21	21	22	21	20	22
19	20	21	23	22	21	21	22	22	23	22	21	22
20	20	22	23	23	22	22	22	23	23	23	22	23
20	21	22	24	23	22	22	23	23	24	23	23	24
21	21	23	24	24	23	23	24	24	24	24	23	25
21	22	23	25	25	24	24	24	25	25	25	24	25
22	22	24	26	25	24	25	25	25	25	25	25	26
23	23	24	26	26	25	25	26	26	26	26	25	27
23	23	25	27	26	25	26	26	27	27	27	26	27
24	24	26	27	27	26	26	27	27	27	27	27	28
24	24	26	28	27	27	27	27	28	28	28	28	29
25	25	27	28	28	27	28	28	28	28	28	28	29
25	26	28	29	29	28	29	29	29	29	29	29	30
26	26	28	29	29	29	29	29	30	29	30	30	30
27	27	29	30	30	29	30	30	30	30	30	30	31
27	28	29	30	30	30	31	31	31	31	31	31	31
28	28	30	31	31	31	31	31	32	31	31	32	32
29	29	31	31	31	31	32	32	32	32	32	32	33
29	29	32	32	32	32	32	33	33	33	33	33	33
30	30	32	33	33	33	33	33	33	33	34	34	34
31	31	33	33	33	33	34	34	34	34	34	34	34
31	31	34	34	34	34	34	35	34	35	35	35	35
32	32	35	34	35	35	35	35	35	35	36	36	36
33	33	35	35	35	36	36	36	36	36	36	37	37
34	34	37	36	36	37	36	37	37	37	38	38	38
36	36	38	37	38	38	37	38	38	39	39	39	39
38	38	39	39	39	39	39	39	39	39	39	40	39
40	40	40	40	40	40	40	40	40	40	40	40	40
