0	10	10	200
1	10	10	210
2	10	10	220
3	10	11	230
4	11	12	250
5	12	13	270
6	13	14	280
7	14	15	300
8	14	16	310
9	15	16	330
10	16	17	340
11	16	18	350
12	17	19	360
13	18	19	370
14	18	20	380
15	19	21	400
16	19	21	410
17	19	22	420
18	20	23	430
19	20	23	440
20	21	24	450
21	21	24	460
22	22	25	470
23	22	26	480
24	23	26	490
25	24	27	500
26	24	27	510
27	25	28	510
28	25	28	520
29	26	29	530
30	26	29	530
31	27	30	540
32	27	30	550
33	28	31	560
34	29	31	560
35	29	32	570
36	30	33	580
37	30	33	590
38	31	34	600
39	31	34	610
40	32	35	620
41	33	36	630
42	33	37	640
43	34	39	650
44	34	40	660
45	35	XX	670
46	36	XX	680
47	36	XX	690
48	37	XX	700
49	38	XX	710
50	39	XX	720
51	39	XX	740
52	40	XX	750
53	XX	XX	770
54	XX	XX	780
55	XX	XX	790
56	XX	XX	790
57	XX	XX	800
58	XX	XX	800
