0	10	10	200
1	10	10	200
2	10	10	210
3	10	10	230
4	11	11	250
5	12	12	260
6	13	12	280
7	14	13	290
8	15	14	310
9	15	15	320
10	16	15	330
11	17	16	350
12	17	17	360
13	18	18	370
14	18	18	380
15	19	19	390
16	20	19	400
17	20	20	420
18	21	21	430
19	21	22	430
20	22	22	440
21	22	23	450
22	23	24	460
23	23	25	470
24	24	25	480
25	24	26	490
26	25	26	500
27	25	27	510
28	26	28	510
29	26	29	520
30	27	29	530
31	27	30	530
32	28	31	540
33	28	31	550
34	29	32	550
35	29	32	560
36	30	33	570
37	30	34	580
38	31	34	590
39	31	35	590
40	32	36	600
41	32	36	610
42	33	37	620
43	34	39	630
44	35	40	640
45	35	XX	650
46	36	XX	660
47	37	XX	670
48	37	XX	680
49	38	XX	680
50	39	XX	690
51	39	XX	700
52	40	XX	720
53	XX	XX	730
54	XX	XX	740
55	XX	XX	760
56	XX	XX	770
57	XX	XX	790
58	XX	XX	800
