0	10	10	200
1	10	10	210
2	10	10	220
3	11	11	230
4	12	12	240
5	13	13	260
6	14	14	270
7	15	15	290
8	15	16	300
9	16	16	320
10	17	17	330
11	18	17	340
12	18	18	350
13	19	19	360
14	20	20	380
15	20	20	390
16	21	21	400
17	21	21	410
18	22	22	430
19	23	23	440
20	23	23	450
21	24	24	460
22	24	25	470
23	25	25	480
24	25	26	490
25	26	27	500
26	26	27	510
27	27	28	510
28	27	28	520
29	28	29	530
30	28	30	530
31	29	30	540
32	29	31	550
33	30	32	560
34	30	32	570
35	31	33	580
36	31	33	590
37	32	34	590
38	32	34	600
39	32	35	610
40	33	36	620
41	33	37	630
42	34	38	640
43	34	39	650
44	35	40	660
45	36	XX	670
46	36	XX	680
47	37	XX	690
48	38	XX	700
49	38	XX	710
50	39	XX	730
51	39	XX	740
52	40	XX	750
53	XX	XX	770
54	XX	XX	780
55	XX	XX	790
56	XX	XX	790
57	XX	XX	800
58	XX	XX	800
