0	10	10	200
1	10	10	200
2	10	10	210
3	10	11	230
4	11	11	240
5	12	12	260
6	13	13	270
7	14	14	290
8	15	15	300
9	15	16	310
10	16	16	330
11	17	17	340
12	17	18	350
13	18	18	370
14	18	19	380
15	19	20	390
16	19	21	410
17	20	22	420
18	20	22	430
19	21	23	440
20	21	24	450
21	22	25	470
22	23	25	480
23	23	26	490
24	24	27	500
25	24	27	510
26	25	28	510
27	25	29	520
28	26	29	530
29	27	30	530
30	27	30	540
31	28	31	550
32	28	31	550
33	29	32	560
34	30	33	570
35	30	33	580
36	31	34	590
37	31	34	590
38	32	35	600
39	32	36	610
40	33	37	620
41	34	38	630
42	34	39	640
43	35	39	640
44	36	40	650
45	37	XX	660
46	38	XX	670
47	38	XX	680
48	39	XX	690
49	39	XX	700
50	39	XX	710
51	40	XX	720
52	40	XX	730
53	XX	XX	740
54	XX	XX	750
55	XX	XX	770
56	XX	XX	780
57	XX	XX	790
58	XX	XX	800
