0	10	10	200
1	10	10	210
2	10	10	220
3	10	10	240
4	11	11	250
5	12	12	270
6	13	13	290
7	14	14	300
8	15	14	320
9	15	15	340
10	16	16	350
11	17	17	360
12	17	17	380
13	18	18	390
14	18	19	400
15	19	19	420
16	19	20	430
17	20	21	440
18	20	21	450
19	21	22	460
20	21	22	470
21	22	23	480
22	22	24	490
23	23	24	500
24	23	25	510
25	24	25	520
26	24	26	520
27	25	27	530
28	25	27	540
29	26	28	540
30	26	29	550
31	27	29	560
32	27	30	570
33	28	31	580
34	28	31	580
35	29	32	590
36	29	33	600
37	29	33	610
38	30	34	620
39	30	35	630
40	31	36	640
41	31	37	650
42	32	38	660
43	33	39	670
44	33	40	680
45	34	XX	680
46	35	XX	690
47	35	XX	700
48	36	XX	710
49	37	XX	730
50	38	XX	740
51	39	XX	750
52	40	XX	770
53	XX	XX	780
54	XX	XX	790
55	XX	XX	790
56	XX	XX	800
57	XX	XX	800
58	XX	XX	800
